name,simulated area result,time
Tubbs_urban_to_TL1_1400_urban,20014679.87,52
Tubbs_urban_to_TL1_1500_urban,20643091.31,53
Tubbs_urban_to_TL1_1600_urban,18726646.91,54
Tubbs_urban_to_TL1_1700_urban,18642118.84,55
Tubbs_urban_to_TL1_1800_urban,20811013.43,56
Tubbs_urban_to_TL1_1900_urban,19567254.75,57
Tubbs_urban_to_TL1_2000_urban,20636283.77,58
Tubbs_urban_to_TL1_2100_urban,19545012.28,59
Tubbs_urban_to_TL1_2200_urban,19192003.21,60
Tubbs_urban_to_TL1_2300_urban,18954685.2,61
Tubbs_urban_to_TL1_2400_urban,22660610.5,62