name,result urban burnt(m^2),year,buffer,time since fire ignited(hour(s))
1009_0200,0,2090rcp45,banana633,16
1009_0300,0,2090rcp45,banana633,17
1009_0400,0,2090rcp45,banana633,18
1009_0500,0,2090rcp45,banana633,19
1009_0600,538.649282,2090rcp45,banana633,20
1009_0700,163149.9241,2090rcp45,banana633,21
1009_0900,777302.3324,2090rcp45,banana633,23
1009_1000,629733.6448,2090rcp45,banana633,24
1009_1100,2790216.408,2090rcp45,banana633,25
1009_1200,2724193.49,2090rcp45,banana633,26
1009_1300,2289750.356,2090rcp45,banana633,27
1009_1400,4065931.956,2090rcp45,banana633,28
1009_1500,3936884.988,2090rcp45,banana633,29
1009_1600,2377198.901,2090rcp45,banana633,30
1009_1700,8124346.697,2090rcp45,banana633,31
1009_1800,7738591.759,2090rcp45,banana633,32
1009_1900,8703170.26,2090rcp45,banana633,33
1009_2000,11414618.06,2090rcp45,banana633,34
1009_2100,11869678.34,2090rcp45,banana633,35
1009_2200,13758466.44,2090rcp45,banana633,36
1009_2300,14594176.33,2090rcp45,banana633,37
1009_2400,14995378.58,2090rcp45,banana633,38
1010_0100,16149742.39,2090rcp45,banana633,39
1009_0200,0,2090rcp85,large,16
1009_0300,0,2090rcp85,large,17
1009_0400,0,2090rcp85,large,18
1009_0500,71470.30445,2090rcp85,large,19
1009_0600,0,2090rcp85,large,20
1009_0700,378255.5512,2090rcp85,large,21
1009_0800,230022.4528,2090rcp85,large,22
1009_0900,443713.6696,2090rcp85,large,23
1009_1000,2172432.356,2090rcp85,large,24
1009_1100,2999218.445,2090rcp85,large,25
1009_1200,5016784.134,2090rcp85,large,26
1009_1300,4862163.282,2090rcp85,large,27
1009_1400,6423514.129,2090rcp85,large,28
1009_1500,7567940.021,2090rcp85,large,29
1009_1600,8332538.296,2090rcp85,large,30
1009_1700,9950353.305,2090rcp85,large,31
1009_1800,11080486.54,2090rcp85,large,32
1009_1900,12094161.7,2090rcp85,large,33
1009_2000,13241020.94,2090rcp85,large,34
1009_2100,14154820.9,2090rcp85,large,35
1009_2200,14958786.91,2090rcp85,large,36
1009_2300,16267956.43,2090rcp85,large,37
1009_2400,16894551.87,2090rcp85,large,38
1010_0100,18163758.84,2090rcp85,large,39
1010_0200,17789217.18,2090rcp85,large,40